#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas);Delito
PPL 34;4595041892;Roberto Pablo Cevallos Gomez;45;27;18/12/2000;18/12/2027;3;1(A);A34;Alto;1;Homicidio
PPL 35;9113317777;Fabian Antonio Cuenca Rivera;50;10;25/08/2016;25/08/2026;2;1(A);A35;Alto;1;Homicidio
PPL 36;9944154273;Michael Angel Romero Sanchez;56;37;29/07/1989;29/07/2026;2;1(A);A36;Alto;1;Narcotrafico
PPL 37;3056885119;Mario Diego Perero Roman;59;42;04/05/1987;04/05/2029;5;1(A);A37;Alto;1;Homicidio
PPL 38;2808174831;Fabian Paulo Paredes Hidalgo;34;21;26/03/2009;26/03/2030;6;1(A);A38;Alto;1;Narcotrafico
PPL 39;1735339742;Gonzalo Julian Guerrero Ramirez;30;4;04/07/2021;04/07/2025;1;1(A);A39;Alto;1;Homicidio
PPL 40;2525333205;Gonzalo Julian Paredes Morales;46;30;13/10/1999;13/10/2029;5;1(A);A40;Alto;1;Narcotrafico
PPL 41;7240898492;Fabian Pablo Gonzales Ramirez;37;15;25/08/2013;25/08/2028;4;1(A);A1;Alto;1;Homicidio
PPL 42;8796048068;Fabian Antonio Cevallos Rivera;40;24;03/07/2003;03/07/2027;3;1(A);A2;Alto;1;Homicidio
PPL 43;1061258990;Fabian Paulo Paredes Sanchez;64;47;25/02/1981;25/02/2028;4;1(A);A3;Alto;1;Narcotrafico
PPL 44;6897268801;Fabian Cesar Cevallos Hidalgo;58;41;18/09/1987;18/09/2028;4;1(A);A4;Alto;1;Narcotrafico
PPL 45;2724138513;Carlos Sergio Guerrero Rivera;50;26;20/10/2012;20/10/2038;14;1(A);A5;Alto;1;Narcotrafico
PPL 46;1975634653;Roberto Antonio Romero Espinosa;46;15;15/09/2011;15/09/2026;2;1(A);A6;Alto;1;Homicidio
PPL 47;6350187737;Fabian Antonio Gonzales Reyes;44;27;06/03/2001;06/03/2028;4;1(A);A7;Alto;1;Narcotrafico
PPL 48;5267543979;Fabian Antonio Torres Roman;39;4;29/01/2024;29/01/2028;4;1(A);A8;Alto;1;Narcotrafico
PPL 49;4499698560;Victor Antonio Guerrero Rivera;45;27;02/07/2001;02/07/2028;4;1(A);A9;Alto;1;Narcotrafico
PPL 50;5899895868;Pedro Pablo Romero Hidalgo;32;21;08/04/2011;08/04/2032;8;1(A);A10;Alto;1;Homicidio
PPL 51;9679966072;Roberto Pablo Torres Gomez;53;36;22/12/1990;22/12/2026;2;1(A);A11;Alto;1;Narcotrafico
PPL 52;3185675294;Carlos Cesar Perero Rivera;41;20;10/06/2008;10/06/2028;4;1(A);A12;Alto;1;Homicidio
PPL 53;7257939065;Fabian Antonio Romero Sanchez;43;18;23/01/2011;23/01/2029;5;1(A);A13;Alto;1;Narcotrafico
PPL 54;1873997560;Mario Sergio Perero Rivera;40;26;11/10/2003;11/10/2029;5;1(A);A14;Alto;1;Homicidio
PPL 55;2167382592;Carlos Julian Cevallos Espinosa;50;28;03/11/2000;03/11/2028;4;1(A);A15;Alto;1;Homicidio
PPL 56;9245299599;Gonzalo Diego Paredes Espinosa;31;26;23/12/2014;23/12/2040;16;1(A);A16;Alto;1;Homicidio
PPL 57;7858636242;Victor Julian Guerrero Roman;63;47;17/03/1980;17/03/2027;3;1(A);A17;Alto;1;Homicidio
PPL 58;4668979458;Carlos Pablo Perero Morales;53;37;05/03/1993;05/03/2030;6;1(A);A18;Alto;1;Homicidio
PPL 59;5589326754;Dario Paulo Gonzales Reyes;28;22;28/03/2017;28/03/2039;15;1(A);A19;Alto;1;Narcotrafico
PPL 60;2750181445;Fabian Diego Romero Rivera;63;47;27/06/1980;27/06/2027;3;1(A);A20;Alto;1;Narcotrafico
PPL 61;7748987038;Fabian Julian Gonzales Hidalgo;37;19;30/03/2008;30/03/2027;3;1(A);A21;Alto;1;Homicidio
PPL 62;6689812133;Carlos Diego Guerrero Hidalgo;48;33;24/12/1995;24/12/2028;4;1(A);A22;Alto;1;Homicidio
PPL 63;3020336093;Carlos Cesar Cevallos Roman;46;16;19/10/2009;19/10/2025;1;1(A);A23;Alto;1;Narcotrafico
PPL 64;2287347533;Dario Paulo Paredes Morales;37;28;29/02/2017;29/02/2045;21;1(A);A24;Alto;1;Homicidio
PPL 65;5220065522;Roberto Angel Cevallos Ramirez;47;30;27/12/1996;27/12/2026;2;1(A);A25;Alto;1;Homicidio
PPL 66;3781351317;Roberto Cesar Paredes Sanchez;20;25;12/04/2024;12/04/2049;25;1(A);A26;Alto;1;Narcotrafico
PPL 67;4754160503;Michael Julian Torres Sanchez;43;28;26/10/2002;26/10/2030;6;1(A);A27;Alto;1;Narcotrafico
PPL 68;8017978107;Michael Diego Perero Morales;48;29;20/11/1998;20/11/2027;3;1(A);A28;Alto;1;Homicidio
PPL 69;7664525604;Gonzalo Antonio Romero Sanchez;29;11;07/09/2014;07/09/2025;1;1(A);A29;Alto;1;Narcotrafico
PPL 70;2750679205;Michael Diego Perero Ramirez;30;16;23/08/2024;23/08/2040;16;1(A);A30;Alto;1;Homicidio
PPL 71;1484641893;Fabian Sergio Garcia Rivera;59;41;18/10/1985;18/10/2026;2;1(A);A31;Alto;1;Homicidio
PPL 72;7215147271;Pedro Diego Guerrero Espinosa;55;40;08/03/1988;08/03/2028;4;1(A);A32;Alto;1;Homicidio
PPL 73;6147397214;Fabian Julian Paredes Hidalgo;44;22;07/05/2005;07/05/2027;3;1(A);A33;Alto;1;Homicidio
PPL 74;3038447930;Pedro Sergio Guerrero Espinosa;48;31;27/07/1998;27/07/2029;5;1(A);A34;Alto;1;Homicidio
PPL 75;9480667571;Mario Julian Romero Ramirez;52;36;27/10/1991;27/10/2027;3;1(A);A35;Alto;1;Homicidio
PPL 76;9579598072;Roberto Sergio Paredes Gomez;31;4;31/01/2021;31/01/2025;1;1(A);A36;Alto;1;Homicidio
PPL 77;1021166362;Gonzalo Adrian Garcia Gomez;44;27;13/08/1999;13/08/2026;2;1(A);A37;Alto;1;Homicidio
PPL 78;1285849955;Fabian Antonio Paredes Espinosa;61;45;13/10/1985;13/10/2030;6;1(A);A38;Alto;1;Homicidio
PPL 79;9285258485;Dario Antonio Perero Reyes;25;28;27/02/2018;27/02/2046;22;1(A);A39;Alto;1;Narcotrafico
PPL 80;9029067556;Dario Julian Torres Morales;47;31;12/04/1996;12/04/2027;3;1(A);A40;Alto;1;Narcotrafico
PPL 81;7383713528;Michael Diego Paredes Gomez;46;17;19/06/2013;19/06/2030;6;2(B);B1;Medio;2;Fraude
PPL 82;6724753807;Roberto Sergio Torres Espinosa;45;28;04/07/2013;04/07/2041;17;2(B);B2;Medio;2;Evasion
PPL 83;5198217562;Carlos Cesar Cuenca Sanchez;41;20;09/04/2013;09/04/2033;9;2(B);B3;Medio;2;Evasion
PPL 84;5183764024;Michael Angel Cevallos Hidalgo;65;48;11/12/1981;11/12/2029;5;2(B);B4;Medio;2;Robo
PPL 85;7468173500;Michael Angel Perero Morales;20;10;03/08/2024;03/08/2034;10;2(B);B5;Medio;2;Evasion
PPL 86;3510376998;Gonzalo Sergio Romero Ramirez;47;32;27/08/1998;27/08/2030;6;2(B);B6;Medio;2;Hurto
PPL 87;2569483909;Gonzalo Diego Perero Sanchez;42;25;23/02/2008;23/02/2033;9;2(B);B7;Medio;2;Hurto
PPL 88;3766996324;Victor Paulo Perero Rivera;47;25;06/04/2006;06/04/2031;7;2(B);B8;Medio;2;Evasion
PPL 89;8526215331;Gonzalo Paulo Cuenca Gomez;42;28;13/07/2001;13/07/2029;5;2(B);B9;Medio;2;Robo
PPL 90;5602758764;Fabian Antonio Cuenca Ramirez;51;37;22/04/1992;22/04/2029;5;2(B);B10;Medio;2;Evasion
PPL 91;8522321546;Dario Angel Cevallos Gomez;44;19;03/12/2007;03/12/2026;2;2(B);B11;Medio;2;Robo
PPL 92;7505411338;Fabian Pablo Romero Reyes;45;13;10/08/2019;10/08/2032;8;2(B);B12;Medio;2;Evasion
PPL 93;6605884390;Michael Paulo Perero Espinosa;36;11;07/10/2017;07/10/2028;4;2(B);B13;Medio;2;Evasion
PPL 94;9667969336;Pedro Cesar Garcia Sanchez;62;46;27/07/1981;27/07/2027;3;2(B);B14;Medio;2;Hurto
PPL 95;1804246430;Pedro Antonio Gonzales Rivera;63;49;03/11/1981;03/11/2030;6;2(B);B15;Medio;2;Robo
PPL 96;2347927209;Fabian Sergio Cevallos Sanchez;47;30;22/07/1997;22/07/2027;3;2(B);B16;Medio;2;Robo
PPL 97;1266965911;Pedro Cesar Torres Espinosa;41;24;07/08/2002;07/08/2026;2;2(B);B17;Medio;2;Hurto
PPL 98;5120873323;Pedro Pablo Paredes Roman;28;20;05/05/2023;05/05/2043;19;2(B);B18;Medio;2;Hurto
PPL 99;8919252556;Roberto Angel Cevallos Ramirez;45;6;03/09/2019;03/09/2025;1;2(B);B19;Medio;2;Robo
PPL 100;91498100047;Carlos Adrian Garcia Ramirez;59;44;27/06/1984;27/06/2028;4;2(B);B20;Medio;2;Evasion
PPL 101;1296739330;Roberto Julian Paredes Roman;63;46;02/02/1980;02/02/2026;2;2(B);B21;Medio;2;Fraude
PPL 102;4458519062;Dario Pablo Garcia Reyes;50;35;24/07/1994;24/07/2029;5;2(B);B22;Medio;2;Robo
PPL 103;2477986940;Victor Sergio Cuenca Rivera;48;32;05/11/1995;05/11/2027;3;2(B);B23;Medio;2;Robo
PPL 104;2914878546;Carlos Adrian Cevallos Reyes;47;11;29/11/2023;29/11/2034;10;2(B);B24;Medio;2;Hurto
PPL 105;8788398161;Michael Angel Paredes Ramirez;61;46;01/11/1983;01/11/2029;5;2(B);B25;Medio;2;Evasion
PPL 106;5226557183;Carlos Antonio Romero Reyes;55;37;13/02/1989;13/02/2026;2;2(B);B26;Medio;2;Robo
PPL 107;6703080352;Roberto Pablo Paredes Sanchez;62;46;08/01/1984;08/01/2030;6;2(B);B27;Medio;2;Fraude
PPL 108;8510810526;Michael Antonio Paredes Sanchez;39;25;17/07/2004;17/07/2029;5;2(B);B28;Medio;2;Robo
PPL 109;7241326908;Michael Antonio Cevallos Sanchez;49;36;31/12/1994;31/12/2030;6;2(B);B29;Medio;2;Robo
PPL 110;4444983464;Dario Antonio Paredes Reyes;41;23;18/07/2014;18/07/2037;13;2(B);B30;Medio;2;Hurto
PPL 111;4385516726;Victor Sergio Torres Rivera;35;23;09/02/2010;09/02/2033;9;2(B);B31;Medio;2;Evasion
PPL 112;8263178021;Victor Julian Paredes Roman;38;19;03/04/2008;03/04/2027;3;2(B);B32;Medio;2;Evasion
PPL 113;8624939083;Pedro Sergio Romero Hidalgo;44;27;19/02/1999;19/02/2026;2;2(B);B33;Medio;2;Hurto
PPL 114;8371476106;Mario Angel Paredes Ramirez;57;43;08/08/1987;08/08/2030;6;2(B);B34;Medio;2;Robo
PPL 115;7705634775;Gonzalo Angel Cevallos Sanchez;40;29;25/06/2014;25/06/2043;19;2(B);B35;Medio;2;Fraude
PPL 116;1876520499;Roberto Antonio Paredes Sanchez;47;1;20/05/2024;20/05/2025;1;2(B);B36;Medio;2;Evasion
PPL 117;9363698915;Gonzalo Pablo Garcia Sanchez;41;30;17/02/2003;17/02/2033;9;2(B);B37;Medio;2;Evasion
PPL 118;9761917045;Dario Paulo Paredes Ramirez;28;14;05/09/2020;05/09/2034;10;2(B);B38;Medio;2;Evasion
PPL 119;8850767981;Michael Antonio Perero Espinosa;54;37;31/11/1989;31/11/2026;2;2(B);B39;Medio;2;Hurto
PPL 120;2759390740;Carlos Adrian Paredes Roman;44;26;07/06/2014;07/06/2040;16;2(B);B40;Medio;2;Fraude
PPL 121;4791557087;Victor Diego Gonzales Espinosa;48;33;15/10/1996;15/10/2029;5;2(B);B41;Medio;2;Fraude
PPL 122;6152311463;Victor Antonio Garcia Espinosa;22;5;21/02/2024;21/02/2029;5;2(B);B42;Medio;2;Evasion
PPL 123;6156193253;Michael Antonio Perero Rivera;44;15;19/06/2022;19/06/2037;13;2(B);B43;Medio;2;Hurto
PPL 124;9357924122;Gonzalo Antonio Guerrero Rivera;52;36;08/05/1994;08/05/2030;6;2(B);B44;Medio;2;Robo
PPL 125;6644860275;Fabian Antonio Paredes Hidalgo;45;16;09/03/2012;09/03/2028;4;2(B);B45;Medio;2;Hurto
PPL 126;8795970878;Victor Angel Gonzales Hidalgo;47;12;19/01/2017;19/01/2029;5;2(B);B46;Medio;2;Hurto
PPL 127;6409898864;Michael Antonio Paredes Sanchez;45;28;29/04/1998;29/04/2026;2;2(B);B47;Medio;2;Robo
PPL 128;1376093148;Michael Paulo Cuenca Ramirez;42;26;24/09/2004;24/09/2030;6;2(B);B48;Medio;2;Robo
PPL 129;1397186013;Michael Antonio Romero Hidalgo;24;23;28/05/2019;28/05/2042;18;2(B);B49;Medio;2;Hurto
PPL 130;3155038821;Victor Adrian Garcia Morales;54;35;01/12/1992;01/12/2027;3;2(B);B50;Medio;2;Fraude
PPL 131;5326676100;Dario Antonio Torres Rivera;43;28;27/06/2000;27/06/2028;4;2(B);B51;Medio;2;Hurto
PPL 132;3993352191;Roberto Cesar Perero Rivera;53;36;18/09/1993;18/09/2029;5;2(B);B52;Medio;2;Fraude
PPL 133;5746589945;Gonzalo Adrian Garcia Hidalgo;39;20;02/01/2009;02/01/2029;5;2(B);B53;Medio;2;Fraude
PPL 134;4298170557;Michael Pablo Paredes Morales;46;30;17/07/1997;17/07/2027;3;2(B);B54;Medio;2;Hurto
PPL 135;4513691303;Michael Angel Torres Morales;57;44;17/10/1986;17/10/2030;6;2(B);B55;Medio;2;Evasion
PPL 136;4154989349;Michael Adrian Gonzales Rivera;45;15;22/08/2024;22/08/2039;15;2(B);B56;Medio;2;Robo
PPL 137;8393222449;Mario Adrian Paredes Sanchez;52;36;13/04/1992;13/04/2028;4;2(B);B57;Medio;2;Fraude
PPL 138;1413028461;Carlos Angel Paredes Ramirez;44;28;06/04/2002;06/04/2030;6;2(B);B58;Medio;2;Evasion
PPL 139;8365066972;Pedro Julian Perero Ramirez;47;30;19/10/1996;19/10/2026;2;2(B);B59;Medio;2;Hurto
PPL 140;9828885947;Fabian Julian Guerrero Morales;28;6;03/11/2024;03/11/2030;6;2(B);B60;Medio;2;Robo
PPL 141;3969375410;Pedro Julian Perero Roman;24;11;02/06/2019;02/06/2030;6;2(B);B61;Medio;2;Evasion
PPL 142;2365951579;Mario Pablo Cevallos Sanchez;58;45;26/12/1985;26/12/2030;6;2(B);B62;Medio;2;Fraude
PPL 143;9650294467;Gonzalo Sergio Paredes Hidalgo;40;30;14/02/2021;14/02/2051;27;2(B);B63;Medio;2;Fraude
PPL 144;4766184187;Pedro Cesar Paredes Espinosa;24;6;21/08/2021;21/08/2027;3;2(B);B64;Medio;2;Robo
PPL 145;2869510691;Michael Julian Garcia Sanchez;41;26;13/02/2003;13/02/2029;5;2(B);B65;Medio;2;Robo
PPL 146;4048575352;Fabian Cesar Paredes Roman;36;17;10/11/2010;10/11/2027;3;2(B);B66;Medio;2;Evasion
PPL 147;1844051019;Mario Antonio Guerrero Sanchez;65;49;09/02/1980;09/02/2029;5;2(B);B67;Medio;2;Robo
PPL 148;4063120487;Pedro Sergio Paredes Reyes;29;25;22/09/2014;22/09/2039;15;2(B);B68;Medio;2;Hurto
PPL 149;2093148452;Gonzalo Antonio Romero Sanchez;48;34;01/08/1996;01/08/2030;6;2(B);B69;Medio;2;Fraude
PPL 150;4839464446;Mario Adrian Gonzales Reyes;52;36;08/11/1994;08/11/2030;6;2(B);B70;Medio;2;Robo
PPL 151;4434719354;Roberto Adrian Romero Roman;34;24;07/04/2015;07/04/2039;15;2(B);B71;Medio;2;Fraude
PPL 152;3608448227;Fabian Adrian Torres Reyes;55;39;17/09/1988;17/09/2027;3;2(B);B72;Medio;2;Hurto
PPL 153;3575349477;Pedro Paulo Gonzales Sanchez;30;24;15/08/2014;15/08/2038;14;2(B);B73;Medio;2;Robo
PPL 154;6559141161;Michael Antonio Perero Hidalgo;62;43;28/12/1984;28/12/2027;3;2(B);B74;Medio;2;Evasion
PPL 155;8610657379;Roberto Angel Romero Sanchez;27;10;29/04/2017;29/04/2027;3;2(B);B75;Medio;2;Evasion
PPL 156;6187693092;Mario Pablo Paredes Rivera;48;22;27/03/2008;27/03/2030;6;2(B);B76;Medio;2;Evasion
PPL 157;6553055328;Dario Adrian Cuenca Sanchez;39;22;21/08/2004;21/08/2026;2;2(B);B77;Medio;2;Robo
PPL 158;9615595568;Gonzalo Antonio Perero Sanchez;56;41;08/12/1988;08/12/2029;5;2(B);B78;Medio;2;Hurto
PPL 159;5262950368;Pedro Sergio Garcia Sanchez;43;15;10/05/2011;10/05/2026;2;2(B);B79;Medio;2;Robo
PPL 160;2923899897;Pedro Diego Paredes Sanchez;41;25;05/09/2002;05/09/2027;3;2(B);B80;Medio;2;Evasion
PPL 161;1875846757;Dario Sergio Cevallos Hidalgo;47;28;14/06/1999;14/06/2027;3;2(B);B81;Medio;2;Robo
PPL 162;7287445508;Carlos Julian Guerrero Ramirez;39;13;10/12/2015;10/12/2028;4;2(B);B82;Medio;2;Evasion
PPL 163;7206540183;Roberto Angel Paredes Espinosa;48;27;26/12/2010;26/12/2037;13;2(B);B83;Medio;2;Evasion
PPL 164;7232419527;Victor Antonio Paredes Rivera;23;18;31/09/2021;31/09/2039;15;2(B);B84;Medio;2;Fraude
PPL 165;7435347000;Roberto Diego Cuenca Sanchez;62;47;27/11/1983;27/11/2030;6;2(B);B85;Medio;2;Hurto
PPL 166;5367258901;Roberto Paulo Paredes Sanchez;45;20;31/09/2012;31/09/2032;8;2(B);B86;Medio;2;Evasion
PPL 167;6809797099;Roberto Antonio Guerrero Hidalgo;35;9;12/09/2020;12/09/2029;5;2(B);B87;Medio;2;Fraude
PPL 168;6452048824;Victor Antonio Cuenca Rivera;66;46;12/12/1980;12/12/2026;2;2(B);B88;Medio;2;Evasion
PPL 169;5934897267;Pedro Paulo Torres Reyes;56;38;15/01/1989;15/01/2027;3;2(B);B89;Medio;2;Fraude
PPL 170;5535359364;Michael Antonio Perero Hidalgo;46;24;14/11/2001;14/11/2025;1;2(B);B90;Medio;2;Evasion
PPL 171;1682783699;Pedro Antonio Guerrero Rivera;45;30;15/12/1998;15/12/2028;4;2(B);B1;Medio;2;Robo
PPL 172;4915836895;Carlos Antonio Perero Morales;37;24;12/09/2009;12/09/2033;9;2(B);B2;Medio;2;Hurto
PPL 173;8880914690;Victor Paulo Cuenca Reyes;61;44;05/08/1985;05/08/2029;5;2(B);B3;Medio;2;Evasion
PPL 174;1211383596;Victor Antonio Torres Roman;40;24;13/10/2003;13/10/2027;3;2(B);B4;Medio;2;Hurto
PPL 175;7091043296;Victor Adrian Garcia Roman;42;24;09/11/2001;09/11/2025;1;2(B);B5;Medio;2;Hurto
PPL 176;1100657345;Roberto Antonio Romero Morales;36;12;09/09/2017;09/09/2029;5;2(B);B6;Medio;2;Evasion
PPL 177;4403336814;Carlos Adrian Garcia Gomez;45;16;21/01/2011;21/01/2027;3;2(B);B7;Medio;2;Evasion
PPL 178;9851587280;Roberto Diego Cevallos Sanchez;35;19;07/03/2008;07/03/2027;3;2(B);B8;Medio;2;Robo
PPL 179;3035375677;Victor Cesar Garcia Morales;47;8;05/12/2024;05/12/2032;8;2(B);B9;Medio;2;Hurto
PPL 180;5041723747;Victor Cesar Cevallos Morales;45;28;20/02/1998;20/02/2026;2;2(B);B10;Medio;2;Fraude
PPL 181;8277655392;Mario Cesar Cevallos Roman;45;30;07/03/1998;07/03/2028;4;2(B);B11;Medio;2;Fraude
PPL 182;5730261465;Mario Cesar Gonzales Hidalgo;57;40;14/01/1987;14/01/2027;3;2(B);B12;Medio;2;Fraude
PPL 183;9472627158;Michael Cesar Paredes Hidalgo;66;50;29/07/1980;29/07/2030;6;2(B);B13;Medio;2;Robo
PPL 184;6226332498;Michael Antonio Garcia Roman;39;23;22/09/2008;22/09/2031;7;2(B);B14;Medio;2;Hurto
PPL 185;7293730273;Fabian Antonio Paredes Ramirez;33;21;23/05/2012;23/05/2033;9;2(B);B15;Medio;2;Fraude
PPL 186;6933282482;Mario Julian Perero Rivera;37;23;28/07/2007;28/07/2030;6;2(B);B16;Medio;2;Fraude
PPL 187;7862565247;Pedro Antonio Guerrero Hidalgo;27;26;25/09/2016;25/09/2042;18;2(B);B17;Medio;2;Robo
PPL 188;2659176236;Roberto Cesar Paredes Gomez;57;40;23/08/1987;23/08/2027;3;2(B);B18;Medio;2;Hurto
PPL 189;9839951984;Victor Pablo Gonzales Ramirez;35;19;14/06/2008;14/06/2027;3;2(B);B19;Medio;2;Fraude
PPL 190;4901731061;Roberto Diego Cuenca Rivera;53;37;11/12/1991;11/12/2028;4;2(B);B20;Medio;2;Robo
PPL 191;6130277194;Gonzalo Pablo Cevallos Ramirez;40;23;22/01/2003;22/01/2026;2;2(B);B21;Medio;2;Evasion
PPL 192;5818846091;Fabian Cesar Paredes Hidalgo;35;11;30/07/2016;30/07/2027;3;2(B);B22;Medio;2;Hurto
PPL 193;6360175900;Fabian Angel Guerrero Sanchez;49;29;13/10/1997;13/10/2026;2;2(B);B23;Medio;2;Hurto
PPL 194;3771790387;Carlos Antonio Cuenca Hidalgo;49;29;10/08/1996;10/08/2025;1;2(B);B24;Medio;2;Hurto
PPL 195;5775089014;Dario Paulo Torres Morales;46;27;11/09/2002;11/09/2029;5;2(B);B25;Medio;2;Robo
PPL 196;1549762543;Roberto Antonio Romero Morales;34;17;11/12/2009;11/12/2026;2;2(B);B26;Medio;2;Hurto
PPL 197;4998394219;Roberto Angel Garcia Gomez;39;13;18/03/2014;18/03/2027;3;2(B);B27;Medio;2;Fraude
PPL 198;6514691890;Gonzalo Julian Gonzales Sanchez;51;34;07/06/1994;07/06/2028;4;2(B);B28;Medio;2;Fraude
PPL 199;1527849707;Victor Paulo Paredes Espinosa;38;20;19/07/2006;19/07/2026;2;2(B);B29;Medio;2;Robo
PPL 200;2358025857;Gonzalo Cesar Cevallos Roman;34;14;01/09/2015;01/09/2029;5;2(B);B30;Medio;2;Robo
PPL 201;3653792838;Gonzalo Antonio Paredes Ramirez;53;40;19/02/1990;19/02/2030;6;2(B);B31;Medio;2;Evasion
PPL 202;3383234872;Mario Adrian Cuenca Rivera;28;9;27/07/2017;27/07/2026;2;2(B);B32;Medio;2;Hurto
PPL 203;2047450994;Roberto Paulo Cuenca Rivera;46;29;22/07/1997;22/07/2026;2;2(B);B33;Medio;2;Robo
PPL 204;4468292746;Carlos Julian Cuenca Ramirez;41;23;29/12/2003;29/12/2026;2;2(B);B34;Medio;2;Fraude
PPL 205;5195463814;Michael Angel Romero Rivera;42;28;07/05/2008;07/05/2036;12;2(B);B35;Medio;2;Hurto
PPL 206;2401474014;Dario Cesar Paredes Morales;48;33;17/06/1995;17/06/2028;4;2(B);B36;Medio;2;Evasion
PPL 207;8337693162;Gonzalo Angel Guerrero Gomez;36;30;08/03/2014;08/03/2044;20;2(B);B37;Medio;2;Robo
