#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas);Delito
PPL 533;2437234763;Roberto Paulo Garcia Morales;64;44;14/01/1982;14/01/2026;2;4(D);D3;Bajo;4;Estafa
PPL 534;9092076945;Fabian Antonio Cuenca Roman;34;19;10/04/2009;10/04/2028;4;4(D);D4;Bajo;4;Otros
PPL 535;8923864311;Fabian Pablo Cuenca Ramirez;38;22;11/12/2010;11/12/2032;8;4(D);D5;Bajo;4;Invasion
PPL 536;6816254634;Carlos Sergio Romero Roman;65;48;04/09/1981;04/09/2029;5;4(D);D6;Bajo;4;Amenazas
PPL 537;3126496035;Roberto Diego Cuenca Reyes;45;23;15/01/2022;15/01/2045;21;4(D);D7;Bajo;4;Estafa
PPL 538;8722445284;Michael Adrian Romero Reyes;44;27;16/07/2000;16/07/2027;3;4(D);D8;Bajo;4;Otros
PPL 539;7196721118;Gonzalo Julian Cevallos Espinosa;54;41;21/06/1989;21/06/2030;6;4(D);D9;Bajo;4;Otros
PPL 540;2373289188;Gonzalo Diego Paredes Hidalgo;62;49;19/12/1981;19/12/2030;6;4(D);D10;Bajo;4;Invasion
PPL 541;5424631392;Mario Adrian Garcia Roman;55;42;31/02/1988;31/02/2030;6;4(D);D11;Bajo;4;Amenazas
PPL 542;5999165878;Michael Julian Gonzales Rivera;32;20;04/05/2011;04/05/2031;7;4(D);D12;Bajo;4;Otros
PPL 543;2781915139;Fabian Angel Torres Roman;44;26;10/06/2002;10/06/2028;4;4(D);D13;Bajo;4;Estafa
PPL 544;9472679460;Roberto Antonio Perero Gomez;43;23;17/11/2003;17/11/2026;2;4(D);D14;Bajo;4;Estafa
PPL 545;3521912123;Michael Julian Perero Reyes;66;48;02/09/1980;02/09/2028;4;4(D);D15;Bajo;4;Estafa
PPL 546;9247894299;Pedro Sergio Cuenca Roman;47;29;27/05/2014;27/05/2043;19;4(D);D16;Bajo;4;Amenazas
PPL 547;5968058365;Mario Angel Paredes Ramirez;50;31;15/02/1996;15/02/2027;3;4(D);D17;Bajo;4;Amenazas
PPL 548;9378093987;Dario Julian Guerrero Hidalgo;46;28;15/03/1997;15/03/2025;1;4(D);D18;Bajo;4;Estafa
PPL 549;4606366482;Michael Antonio Cevallos Reyes;47;23;01/03/2006;01/03/2029;5;4(D);D19;Bajo;4;Invasion
PPL 550;1378317106;Victor Cesar Guerrero Hidalgo;41;22;13/08/2005;13/08/2027;3;4(D);D20;Bajo;4;Estafa
PPL 551;9753792525;Pedro Antonio Guerrero Ramirez;49;29;17/02/1997;17/02/2026;2;4(D);D21;Bajo;4;Estafa
PPL 552;6800485452;Fabian Antonio Garcia Roman;50;31;15/04/1996;15/04/2027;3;4(D);D22;Bajo;4;Estafa
PPL 553;4133857118;Carlos Adrian Garcia Sanchez;45;30;08/12/1998;08/12/2028;4;4(D);D23;Bajo;4;Amenazas
PPL 554;6656036448;Dario Adrian Paredes Sanchez;40;15;16/01/2011;16/01/2026;2;4(D);D24;Bajo;4;Estafa
PPL 555;5172642118;Pedro Angel Garcia Espinosa;49;26;26/08/2004;26/08/2030;6;4(D);D25;Bajo;4;Amenazas
PPL 556;9387222566;Carlos Cesar Gonzales Sanchez;41;21;15/01/2005;15/01/2026;2;4(D);D26;Bajo;4;Estafa
PPL 557;9609515349;Roberto Sergio Cevallos Morales;49;33;09/09/1996;09/09/2029;5;4(D);D27;Bajo;4;Estafa
PPL 558;2135157969;Mario Diego Torres Hidalgo;48;13;11/04/2020;11/04/2033;9;4(D);D28;Bajo;4;Estafa
PPL 559;4739275252;Roberto Antonio Cuenca Gomez;49;3;03/06/2023;03/06/2026;2;4(D);D29;Bajo;4;Invasion
PPL 560;7740550325;Roberto Sergio Guerrero Gomez;26;22;31/04/2018;31/04/2040;16;4(D);D30;Bajo;4;Estafa
PPL 561;5634944256;Gonzalo Antonio Cuenca Rivera;44;31;11/01/1999;11/01/2030;6;4(D);D31;Bajo;4;Otros
PPL 562;4070592755;Fabian Antonio Torres Hidalgo;48;31;09/01/1995;09/01/2026;2;4(D);D32;Bajo;4;Estafa
PPL 563;3942425182;Carlos Paulo Paredes Sanchez;60;42;15/11/1986;15/11/2028;4;4(D);D33;Bajo;4;Invasion
PPL 564;8088887711;Dario Angel Cevallos Morales;40;29;23/02/2005;23/02/2034;10;4(D);D34;Bajo;4;Invasion
PPL 565;7518416184;Gonzalo Julian Romero Morales;50;27;07/01/2002;07/01/2029;5;4(D);D35;Bajo;4;Amenazas
PPL 566;4130312432;Roberto Antonio Torres Rivera;51;34;02/02/1992;02/02/2026;2;4(D);D36;Bajo;4;Estafa
PPL 567;2176511473;Roberto Paulo Paredes Sanchez;50;30;30/03/1996;30/03/2026;2;4(D);D37;Bajo;4;Estafa
PPL 568;9806896456;Michael Diego Cevallos Sanchez;57;40;06/04/1986;06/04/2026;2;4(D);D38;Bajo;4;Invasion
PPL 569;1598833615;Fabian Diego Romero Gomez;61;43;06/05/1984;06/05/2027;3;4(D);D39;Bajo;4;Amenazas
PPL 570;9138782495;Mario Paulo Gonzales Hidalgo;26;14;17/05/2022;17/05/2036;12;4(D);D40;Bajo;4;Otros
PPL 571;8529287428;Michael Pablo Cuenca Morales;37;28;15/03/2020;15/03/2048;24;4(D);D41;Bajo;4;Estafa
PPL 572;2435124467;Carlos Paulo Guerrero Ramirez;46;31;11/08/1997;11/08/2028;4;4(D);D42;Bajo;4;Amenazas
PPL 573;5174231914;Fabian Angel Guerrero Gomez;59;44;21/02/1984;21/02/2028;4;4(D);D43;Bajo;4;Invasion
PPL 574;7839927311;Gonzalo Pablo Cevallos Ramirez;40;25;12/10/2003;12/10/2028;4;4(D);D44;Bajo;4;Estafa
PPL 575;5151296711;Gonzalo Antonio Cevallos Morales;61;45;01/05/1982;01/05/2027;3;4(D);D45;Bajo;4;Otros
PPL 576;5040771873;Victor Cesar Paredes Sanchez;45;23;10/02/2011;10/02/2034;10;4(D);D46;Bajo;4;Estafa
PPL 577;3641478575;Carlos Julian Cevallos Sanchez;46;31;01/06/1997;01/06/2028;4;4(D);D47;Bajo;4;Otros
PPL 578;5785079168;Mario Paulo Gonzales Sanchez;53;40;19/03/1990;19/03/2030;6;4(D);D48;Bajo;4;Amenazas
PPL 579;5364143625;Carlos Antonio Cuenca Rivera;42;27;26/05/2011;26/05/2038;14;4(D);D49;Bajo;4;Estafa
PPL 580;1820258038;Michael Cesar Guerrero Roman;39;28;21/12/2024;21/12/2052;28;4(D);D50;Bajo;4;Invasion
PPL 581;2243262826;Mario Paulo Cevallos Gomez;50;29;19/10/2001;19/10/2030;6;4(D);D51;Bajo;4;Otros
PPL 582;1388697927;Dario Angel Romero Rivera;34;21;13/06/2013;13/06/2034;10;4(D);D52;Bajo;4;Amenazas
PPL 583;3533242578;Roberto Antonio Garcia Ramirez;58;44;05/02/1985;05/02/2029;5;4(D);D53;Bajo;4;Invasion
PPL 584;8527324180;Carlos Antonio Perero Gomez;50;15;31/02/2011;31/02/2026;2;4(D);D54;Bajo;4;Otros
PPL 585;8594014861;Victor Diego Guerrero Sanchez;46;32;21/06/1998;21/06/2030;6;4(D);D55;Bajo;4;Amenazas
PPL 586;3712078510;Michael Angel Cuenca Sanchez;46;29;31/09/2018;31/09/2047;23;4(D);D56;Bajo;4;Estafa
PPL 587;3418616037;Gonzalo Diego Cuenca Gomez;38;23;11/03/2005;11/03/2028;4;4(D);D57;Bajo;4;Otros
PPL 588;1988684075;Pedro Antonio Cuenca Ramirez;43;25;24/07/2006;24/07/2031;7;4(D);D58;Bajo;4;Estafa
PPL 589;7682863910;Carlos Pablo Perero Reyes;25;23;04/06/2018;04/06/2041;17;4(D);D59;Bajo;4;Estafa
PPL 590;5563969950;Gonzalo Diego Perero Reyes;47;21;08/06/2009;08/06/2030;6;4(D);D60;Bajo;4;Estafa
PPL 591;7626753599;Fabian Julian Cuenca Roman;44;25;09/04/2001;09/04/2026;2;4(D);D61;Bajo;4;Estafa
PPL 592;5854480709;Dario Paulo Cevallos Roman;43;29;15/03/2011;15/03/2040;16;4(D);D62;Bajo;4;Invasion
PPL 593;2315658049;Fabian Cesar Garcia Reyes;49;32;30/10/1997;30/10/2029;5;4(D);D63;Bajo;4;Otros
PPL 594;7972075140;Pedro Antonio Guerrero Espinosa;54;38;19/08/1990;19/08/2028;4;4(D);D64;Bajo;4;Otros
PPL 595;6208724698;Fabian Sergio Gonzales Sanchez;54;41;05/05/1989;05/05/2030;6;4(D);D65;Bajo;4;Amenazas
PPL 596;6283479762;Fabian Julian Romero Roman;63;48;26/06/1981;26/06/2029;5;4(D);D66;Bajo;4;Invasion
PPL 597;4996062456;Carlos Cesar Garcia Sanchez;60;42;08/07/1984;08/07/2026;2;4(D);D67;Bajo;4;Otros
PPL 598;5111272405;Pedro Diego Romero Morales;40;25;03/02/2004;03/02/2029;5;4(D);D68;Bajo;4;Estafa
PPL 599;4705433327;Michael Antonio Romero Reyes;62;48;07/10/1981;07/10/2029;5;4(D);D69;Bajo;4;Estafa
PPL 600;4223750287;Carlos Antonio Cuenca Sanchez;49;28;19/07/2001;19/07/2029;5;4(D);D70;Bajo;4;Amenazas
PPL 601;4650092119;Victor Diego Gonzales Hidalgo;58;41;17/08/1985;17/08/2026;2;4(D);D71;Bajo;4;Invasion
PPL 602;3214752264;Gonzalo Antonio Romero Sanchez;35;8;24/08/2017;24/08/2025;1;4(D);D72;Bajo;4;Estafa
PPL 603;8048782053;Gonzalo Angel Guerrero Espinosa;42;24;17/10/2002;17/10/2026;2;4(D);D73;Bajo;4;Otros
PPL 604;8635378837;Mario Diego Gonzales Roman;58;42;17/06/1988;17/06/2030;6;4(D);D74;Bajo;4;Amenazas
PPL 605;5934870463;Dario Cesar Garcia Gomez;40;24;04/09/2003;04/09/2027;3;4(D);D75;Bajo;4;Invasion
PPL 606;5081175349;Roberto Cesar Perero Morales;37;9;02/12/2021;02/12/2030;6;4(D);D76;Bajo;4;Amenazas
PPL 607;5122138150;Mario Sergio Paredes Reyes;42;26;30/11/2004;30/11/2030;6;4(D);D77;Bajo;4;Estafa
PPL 608;2506553065;Fabian Diego Romero Hidalgo;33;13;22/12/2013;22/12/2026;2;4(D);D78;Bajo;4;Estafa
PPL 609;6858136774;Michael Cesar Romero Hidalgo;34;10;31/12/2019;31/12/2029;5;4(D);D79;Bajo;4;Otros
PPL 610;2167419604;Dario Angel Paredes Reyes;51;36;07/03/1994;07/03/2030;6;4(D);D80;Bajo;4;Otros
PPL 611;1040526085;Pedro Paulo Cuenca Espinosa;52;36;10/01/1991;10/01/2027;3;4(D);D81;Bajo;4;Estafa
PPL 612;5871125879;Roberto Julian Paredes Hidalgo;43;27;16/01/2002;16/01/2029;5;4(D);D82;Bajo;4;Otros
PPL 613;7941817110;Fabian Cesar Torres Hidalgo;47;33;28/09/1996;28/09/2029;5;4(D);D83;Bajo;4;Estafa
PPL 614;9498258899;Gonzalo Cesar Guerrero Morales;49;32;18/12/1994;18/12/2026;2;4(D);D84;Bajo;4;Estafa
PPL 615;2292941616;Fabian Sergio Gonzales Hidalgo;57;37;26/11/1989;26/11/2026;2;4(D);D85;Bajo;4;Amenazas
PPL 616;1879061042;Dario Pablo Paredes Reyes;42;27;24/08/2002;24/08/2029;5;4(D);D86;Bajo;4;Otros
PPL 617;4256077142;Gonzalo Pablo Torres Reyes;60;43;06/02/1983;06/02/2026;2;4(D);D87;Bajo;4;Invasion
PPL 618;9681254492;Fabian Pablo Perero Rivera;53;33;25/09/1993;25/09/2026;2;4(D);D88;Bajo;4;Invasion
PPL 619;6312438004;Roberto Julian Paredes Morales;44;27;19/04/2002;19/04/2029;5;4(D);D89;Bajo;4;Invasion
PPL 620;7803895538;Roberto Pablo Paredes Rivera;48;26;21/04/2000;21/04/2026;2;4(D);D90;Bajo;4;Amenazas
