#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas); Delito
PPL 113;8624939083;Pedro Sergio Romero Hidalgo;44;27;19/02/1999;19/02/2026;2;2(B);B33;Medio;2;Hurto
PPL 114;8371476106;Mario Angel Paredes Ramirez;57;43;08/08/1987;08/08/2030;6;2(B);B34;Medio;2;Robo
PPL 115;7705634775;Gonzalo Angel Cevallos Sanchez;40;29;25/06/2014;25/06/2043;19;2(B);B35;Medio;2;Fraude
PPL 116;1876520499;Roberto Antonio Paredes Sanchez;47;1;20/05/2024;20/05/2025;1;2(B);B36;Medio;2;Evasion
PPL 117;9363698915;Gonzalo Pablo Garcia Sanchez;41;30;17/02/2003;17/02/2033;9;2(B);B37;Medio;2;Evasion
PPL 118;9761917045;Dario Paulo Paredes Ramirez;28;14;05/09/2020;05/09/2034;10;2(B);B38;Medio;2;Evasion
PPL 119;8850767981;Michael Antonio Perero Espinosa;54;37;31/11/1989;31/11/2026;2;2(B);B39;Medio;2;Hurto
PPL 120;2759390740;Carlos Adrian Paredes Roman;44;26;07/06/2014;07/06/2040;16;2(B);B40;Medio;2;Fraude
PPL 121;4791557087;Victor Diego Gonzales Espinosa;48;33;15/10/1996;15/10/2029;5;2(B);B41;Medio;2;Fraude
PPL 122;6152311463;Victor Antonio Garcia Espinosa;22;5;21/02/2024;21/02/2029;5;2(B);B42;Medio;2;Evasion
PPL 123;6156193253;Michael Antonio Perero Rivera;44;15;19/06/2022;19/06/2037;13;2(B);B43;Medio;2;Hurto
PPL 124;9357924122;Gonzalo Antonio Guerrero Rivera;52;36;08/05/1994;08/05/2030;6;2(B);B44;Medio;2;Robo
PPL 125;6644860275;Fabian Antonio Paredes Hidalgo;45;16;09/03/2012;09/03/2028;4;2(B);B45;Medio;2;Hurto
PPL 126;8795970878;Victor Angel Gonzales Hidalgo;47;12;19/01/2017;19/01/2029;5;2(B);B46;Medio;2;Hurto
PPL 127;6409898864;Michael Antonio Paredes Sanchez;45;28;29/04/1998;29/04/2026;2;2(B);B47;Medio;2;Robo
PPL 128;1376093148;Michael Paulo Cuenca Ramirez;42;26;24/09/2004;24/09/2030;6;2(B);B48;Medio;2;Robo
PPL 129;1397186013;Michael Antonio Romero Hidalgo;24;23;28/05/2019;28/05/2042;18;2(B);B49;Medio;2;Hurto
PPL 130;3155038821;Victor Adrian Garcia Morales;54;35;01/12/1992;01/12/2027;3;2(B);B50;Medio;2;Fraude
PPL 131;5326676100;Dario Antonio Torres Rivera;43;28;27/06/2000;27/06/2028;4;2(B);B51;Medio;2;Hurto
PPL 132;3993352191;Roberto Cesar Perero Rivera;53;36;18/09/1993;18/09/2029;5;2(B);B52;Medio;2;Fraude
PPL 133;5746589945;Gonzalo Adrian Garcia Hidalgo;39;20;02/01/2009;02/01/2029;5;2(B);B53;Medio;2;Fraude
PPL 134;4298170557;Michael Pablo Paredes Morales;46;30;17/07/1997;17/07/2027;3;2(B);B54;Medio;2;Hurto
PPL 135;4513691303;Michael Angel Torres Morales;57;44;17/10/1986;17/10/2030;6;2(B);B55;Medio;2;Evasion
PPL 136;4154989349;Michael Adrian Gonzales Rivera;45;15;22/08/2024;22/08/2039;15;2(B);B56;Medio;2;Robo
PPL 137;8393222449;Mario Adrian Paredes Sanchez;52;36;13/04/1992;13/04/2028;4;2(B);B57;Medio;2;Fraude
PPL 138;1413028461;Carlos Angel Paredes Ramirez;44;28;06/04/2002;06/04/2030;6;2(B);B58;Medio;2;Evasion
PPL 139;8365066972;Pedro Julian Perero Ramirez;47;30;19/10/1996;19/10/2026;2;2(B);B59;Medio;2;Hurto
PPL 140;9828885947;Fabian Julian Guerrero Morales;28;6;03/11/2024;03/11/2030;6;2(B);B60;Medio;2;Robo
PPL 141;3969375410;Pedro Julian Perero Roman;24;11;02/06/2019;02/06/2030;6;2(B);B61;Medio;2;Evasion
PPL 142;2365951579;Mario Pablo Cevallos Sanchez;58;45;26/12/1985;26/12/2030;6;2(B);B62;Medio;2;Fraude
PPL 143;9650294467;Gonzalo Sergio Paredes Hidalgo;40;30;14/02/2021;14/02/2051;27;2(B);B63;Medio;2;Fraude
PPL 144;4766184187;Pedro Cesar Paredes Espinosa;24;6;21/08/2021;21/08/2027;3;2(B);B64;Medio;2;Robo
PPL 145;2869510691;Michael Julian Garcia Sanchez;41;26;13/02/2003;13/02/2029;5;2(B);B65;Medio;2;Robo
PPL 146;4048575352;Fabian Cesar Paredes Roman;36;17;10/11/2010;10/11/2027;3;2(B);B66;Medio;2;Evasion
PPL 147;1844051019;Mario Antonio Guerrero Sanchez;65;49;09/02/1980;09/02/2029;5;2(B);B67;Medio;2;Robo
PPL 148;4063120487;Pedro Sergio Paredes Reyes;29;25;22/09/2014;22/09/2039;15;2(B);B68;Medio;2;Hurto
PPL 149;2093148452;Gonzalo Antonio Romero Sanchez;48;34;01/08/1996;01/08/2030;6;2(B);B69;Medio;2;Fraude
PPL 150;4839464446;Mario Adrian Gonzales Reyes;52;36;08/11/1994;08/11/2030;6;2(B);B70;Medio;2;Robo
PPL 151;4434719354;Roberto Adrian Romero Roman;34;24;07/04/2015;07/04/2039;15;2(B);B71;Medio;2;Fraude
PPL 152;3608448227;Fabian Adrian Torres Reyes;55;39;17/09/1988;17/09/2027;3;2(B);B72;Medio;2;Hurto
PPL 153;3575349477;Pedro Paulo Gonzales Sanchez;30;24;15/08/2014;15/08/2038;14;2(B);B73;Medio;2;Robo
PPL 154;6559141161;Michael Antonio Perero Hidalgo;62;43;28/12/1984;28/12/2027;3;2(B);B74;Medio;2;Evasion
PPL 155;8610657379;Roberto Angel Romero Sanchez;27;10;29/04/2017;29/04/2027;3;2(B);B75;Medio;2;Evasion
PPL 156;6187693092;Mario Pablo Paredes Rivera;48;22;27/03/2008;27/03/2030;6;2(B);B76;Medio;2;Evasion
PPL 157;6553055328;Dario Adrian Cuenca Sanchez;39;22;21/08/2004;21/08/2026;2;2(B);B77;Medio;2;Robo
PPL 158;9615595568;Gonzalo Antonio Perero Sanchez;56;41;08/12/1988;08/12/2029;5;2(B);B78;Medio;2;Hurto
PPL 159;5262950368;Pedro Sergio Garcia Sanchez;43;15;10/05/2011;10/05/2026;2;2(B);B79;Medio;2;Robo
PPL 160;2923899897;Pedro Diego Paredes Sanchez;41;25;05/09/2002;05/09/2027;3;2(B);B80;Medio;2;Evasion
PPL 161;1875846757;Dario Sergio Cevallos Hidalgo;47;28;14/06/1999;14/06/2027;3;2(B);B81;Medio;2;Robo
PPL 162;7287445508;Carlos Julian Guerrero Ramirez;39;13;10/12/2015;10/12/2028;4;2(B);B82;Medio;2;Evasion
PPL 163;7206540183;Roberto Angel Paredes Espinosa;48;27;26/12/2010;26/12/2037;13;2(B);B83;Medio;2;Evasion
PPL 164;7232419527;Victor Antonio Paredes Rivera;23;18;31/09/2021;31/09/2039;15;2(B);B84;Medio;2;Fraude
PPL 165;7435347000;Roberto Diego Cuenca Sanchez;62;47;27/11/1983;27/11/2030;6;2(B);B85;Medio;2;Hurto
PPL 166;5367258901;Roberto Paulo Paredes Sanchez;45;20;31/09/2012;31/09/2032;8;2(B);B86;Medio;2;Evasion
PPL 167;6809797099;Roberto Antonio Guerrero Hidalgo;35;9;12/09/2020;12/09/2029;5;2(B);B87;Medio;2;Fraude
PPL 168;6452048824;Victor Antonio Cuenca Rivera;66;46;12/12/1980;12/12/2026;2;2(B);B88;Medio;2;Evasion
PPL 169;5934897267;Pedro Paulo Torres Reyes;56;38;15/01/1989;15/01/2027;3;2(B);B89;Medio;2;Fraude
PPL 170;5535359364;Michael Antonio Perero Hidalgo;46;24;14/11/2001;14/11/2025;1;2(B);B90;Medio;2;Evasion
PPL 171;1682783699;Pedro Antonio Guerrero Rivera;45;30;15/12/1998;15/12/2028;4;2(B);B1;Medio;2;Robo
PPL 172;4915836895;Carlos Antonio Perero Morales;37;24;12/09/2009;12/09/2033;9;2(B);B2;Medio;2;Hurto
PPL 173;8880914690;Victor Paulo Cuenca Reyes;61;44;05/08/1985;05/08/2029;5;2(B);B3;Medio;2;Evasion
PPL 174;1211383596;Victor Antonio Torres Roman;40;24;13/10/2003;13/10/2027;3;2(B);B4;Medio;2;Hurto
PPL 175;7091043296;Victor Adrian Garcia Roman;42;24;09/11/2001;09/11/2025;1;2(B);B5;Medio;2;Hurto
PPL 176;1100657345;Roberto Antonio Romero Morales;36;12;09/09/2017;09/09/2029;5;2(B);B6;Medio;2;Evasion
PPL 177;4403336814;Carlos Adrian Garcia Gomez;45;16;21/01/2011;21/01/2027;3;2(B);B7;Medio;2;Evasion
PPL 178;9851587280;Roberto Diego Cevallos Sanchez;35;19;07/03/2008;07/03/2027;3;2(B);B8;Medio;2;Robo
PPL 179;3035375677;Victor Cesar Garcia Morales;47;8;05/12/2024;05/12/2032;8;2(B);B9;Medio;2;Hurto
PPL 180;5041723747;Victor Cesar Cevallos Morales;45;28;20/02/1998;20/02/2026;2;2(B);B10;Medio;2;Fraude
PPL 181;8277655392;Mario Cesar Cevallos Roman;45;30;07/03/1998;07/03/2028;4;2(B);B11;Medio;2;Fraude
PPL 182;5730261465;Mario Cesar Gonzales Hidalgo;57;40;14/01/1987;14/01/2027;3;2(B);B12;Medio;2;Fraude
PPL 183;9472627158;Michael Cesar Paredes Hidalgo;66;50;29/07/1980;29/07/2030;6;2(B);B13;Medio;2;Robo
PPL 184;6226332498;Michael Antonio Garcia Roman;39;23;22/09/2008;22/09/2031;7;2(B);B14;Medio;2;Hurto
PPL 185;7293730273;Fabian Antonio Paredes Ramirez;33;21;23/05/2012;23/05/2033;9;2(B);B15;Medio;2;Fraude
PPL 186;6933282482;Mario Julian Perero Rivera;37;23;28/07/2007;28/07/2030;6;2(B);B16;Medio;2;Fraude
PPL 187;7862565247;Pedro Antonio Guerrero Hidalgo;27;26;25/09/2016;25/09/2042;18;2(B);B17;Medio;2;Robo
PPL 188;2659176236;Roberto Cesar Paredes Gomez;57;40;23/08/1987;23/08/2027;3;2(B);B18;Medio;2;Hurto
PPL 189;9839951984;Victor Pablo Gonzales Ramirez;35;19;14/06/2008;14/06/2027;3;2(B);B19;Medio;2;Fraude
PPL 190;4901731061;Roberto Diego Cuenca Rivera;53;37;11/12/1991;11/12/2028;4;2(B);B20;Medio;2;Robo
PPL 191;6130277194;Gonzalo Pablo Cevallos Ramirez;40;23;22/01/2003;22/01/2026;2;2(B);B21;Medio;2;Evasion
PPL 192;5818846091;Fabian Cesar Paredes Hidalgo;35;11;30/07/2016;30/07/2027;3;2(B);B22;Medio;2;Hurto
PPL 193;6360175900;Fabian Angel Guerrero Sanchez;49;29;13/10/1997;13/10/2026;2;2(B);B23;Medio;2;Hurto
PPL 194;3771790387;Carlos Antonio Cuenca Hidalgo;49;29;10/08/1996;10/08/2025;1;2(B);B24;Medio;2;Hurto
PPL 195;5775089014;Dario Paulo Torres Morales;46;27;11/09/2002;11/09/2029;5;2(B);B25;Medio;2;Robo
PPL 196;1549762543;Roberto Antonio Romero Morales;34;17;11/12/2009;11/12/2026;2;2(B);B26;Medio;2;Hurto
PPL 197;4998394219;Roberto Angel Garcia Gomez;39;13;18/03/2014;18/03/2027;3;2(B);B27;Medio;2;Fraude
PPL 198;6514691890;Gonzalo Julian Gonzales Sanchez;51;34;07/06/1994;07/06/2028;4;2(B);B28;Medio;2;Fraude
PPL 199;1527849707;Victor Paulo Paredes Espinosa;38;20;19/07/2006;19/07/2026;2;2(B);B29;Medio;2;Robo
PPL 200;2358025857;Gonzalo Cesar Cevallos Roman;34;14;01/09/2015;01/09/2029;5;2(B);B30;Medio;2;Robo
PPL 201;3653792838;Gonzalo Antonio Paredes Ramirez;53;40;19/02/1990;19/02/2030;6;2(B);B31;Medio;2;Evasion
PPL 202;3383234872;Mario Adrian Cuenca Rivera;28;9;27/07/2017;27/07/2026;2;2(B);B32;Medio;2;Hurto
PPL 203;2047450994;Roberto Paulo Cuenca Rivera;46;29;22/07/1997;22/07/2026;2;2(B);B33;Medio;2;Robo
PPL 204;4468292746;Carlos Julian Cuenca Ramirez;41;23;29/12/2003;29/12/2026;2;2(B);B34;Medio;2;Fraude
PPL 205;5195463814;Michael Angel Romero Rivera;42;28;07/05/2008;07/05/2036;12;2(B);B35;Medio;2;Hurto
PPL 206;2401474014;Dario Cesar Paredes Morales;48;33;17/06/1995;17/06/2028;4;2(B);B36;Medio;2;Evasion
PPL 207;8337693162;Gonzalo Angel Guerrero Gomez;36;30;08/03/2014;08/03/2044;20;2(B);B37;Medio;2;Robo
PPL 208;7634524180;Michael Paulo Paredes Sanchez;22;5;20/01/2024;20/01/2029;5;2(B);B38;Medio;2;Fraude
PPL 209;4635496265;Pedro Diego Paredes Sanchez;41;25;18/10/2002;18/10/2027;3;2(B);B39;Medio;2;Evasion
PPL 210;8730593385;Fabian Paulo Paredes Hidalgo;41;24;23/04/2002;23/04/2026;2;2(B);B40;Medio;2;Evasion
PPL 211;5953661866;Roberto Sergio Torres Espinosa;57;40;22/08/1986;22/08/2026;2;2(B);B41;Medio;2;Hurto
PPL 212;5669657048;Dario Angel Gonzales Sanchez;37;18;02/08/2009;02/08/2027;3;2(B);B42;Medio;2;Fraude
PPL 213;5452550513;Michael Pablo Cevallos Reyes;61;47;28/07/1982;28/07/2029;5;2(B);B43;Medio;2;Fraude
PPL 214;6166789305;Pedro Adrian Paredes Morales;30;15;01/02/2015;01/02/2030;6;2(B);B44;Medio;2;Evasion
PPL 215;2285662665;Roberto Diego Torres Sanchez;32;19;03/02/2011;03/02/2030;6;2(B);B45;Medio;2;Evasion
PPL 216;2069528215;Dario Pablo Romero Morales;40;28;29/05/2003;29/05/2031;7;2(B);B46;Medio;2;Evasion
PPL 217;7382454722;Dario Pablo Garcia Reyes;58;43;15/02/1986;15/02/2029;5;2(B);B47;Medio;2;Evasion
PPL 218;5281984091;Roberto Adrian Cevallos Sanchez;56;40;17/12/1988;17/12/2028;4;2(B);B48;Medio;2;Hurto
PPL 219;7310321152;Carlos Antonio Paredes Roman;48;30;05/03/1997;05/03/2027;3;2(B);B49;Medio;2;Robo
PPL 220;8250679460;Fabian Adrian Gonzales Hidalgo;60;45;17/03/1985;17/03/2030;6;2(B);B50;Medio;2;Fraude
PPL 221;9351422343;Victor Antonio Paredes Sanchez;31;17;20/10/2012;20/10/2029;5;2(B);B51;Medio;2;Hurto
PPL 222;8732327185;Victor Sergio Cevallos Sanchez;28;13;10/01/2017;10/01/2030;6;2(B);B52;Medio;2;Hurto
PPL 223;2612692026;Pedro Sergio Garcia Sanchez;49;26;30/11/2016;30/11/2042;18;2(B);B53;Medio;2;Evasion
PPL 224;2193277272;Roberto Sergio Gonzales Sanchez;57;38;05/02/1988;05/02/2026;2;2(B);B54;Medio;2;Hurto
PPL 225;1402315279;Roberto Adrian Guerrero Roman;63;47;14/07/1980;14/07/2027;3;2(B);B55;Medio;2;Hurto
PPL 226;7802572573;Victor Diego Romero Ramirez;62;46;06/05/1981;06/05/2027;3;2(B);B56;Medio;2;Fraude
PPL 227;8808019112;Mario Antonio Paredes Hidalgo;57;42;22/02/1988;22/02/2030;6;2(B);B57;Medio;2;Fraude
PPL 228;7737039841;Dario Angel Romero Ramirez;49;24;24/10/2004;24/10/2028;4;2(B);B58;Medio;2;Evasion
PPL 229;2807956551;Mario Diego Gonzales Morales;41;25;29/06/2003;29/06/2028;4;2(B);B59;Medio;2;Fraude
PPL 230;9378622113;Dario Angel Gonzales Hidalgo;56;40;05/10/1987;05/10/2027;3;2(B);B60;Medio;2;Robo
PPL 231;3338425835;Dario Adrian Torres Sanchez;47;14;25/07/2019;25/07/2033;9;2(B);B61;Medio;2;Evasion
PPL 232;6519711688;Michael Cesar Paredes Sanchez;34;17;24/03/2009;24/03/2026;2;2(B);B62;Medio;2;Fraude
PPL 233;7592191092;Michael Angel Romero Ramirez;61;45;22/01/1982;22/01/2027;3;2(B);B63;Medio;2;Hurto
PPL 234;4689280667;Roberto Diego Romero Rivera;49;32;12/02/1995;12/02/2027;3;2(B);B64;Medio;2;Fraude
PPL 235;1498471684;Fabian Antonio Paredes Espinosa;35;29;16/08/2011;16/08/2040;16;2(B);B65;Medio;2;Hurto
PPL 236;9495611385;Pedro Cesar Cuenca Hidalgo;57;42;26/06/1986;26/06/2028;4;2(B);B66;Medio;2;Evasion
PPL 237;7281395038;Roberto Sergio Perero Espinosa;47;31;21/09/1997;21/09/2028;4;2(B);B67;Medio;2;Fraude
PPL 238;9653545759;Victor Diego Paredes Rivera;44;9;10/03/2017;10/03/2026;2;2(B);B68;Medio;2;Robo
PPL 239;3110899230;Dario Sergio Perero Sanchez;64;45;11/07/1982;11/07/2027;3;2(B);B69;Medio;2;Fraude
PPL 240;4528969588;Dario Adrian Torres Reyes;50;37;22/03/1993;22/03/2030;6;2(B);B70;Medio;2;Hurto
PPL 241;1662886077;Pedro Pablo Guerrero Sanchez;43;29;03/02/2000;03/02/2029;5;2(B);B71;Medio;2;Hurto
PPL 242;2580423737;Roberto Julian Perero Sanchez;52;37;10/09/1993;10/09/2030;6;2(B);B72;Medio;2;Evasion
PPL 243;5079844411;Fabian Julian Perero Rivera;43;17;09/06/2012;09/06/2029;5;2(B);B73;Medio;2;Robo
PPL 244;3381836780;Michael Antonio Paredes Rivera;65;47;24/07/1980;24/07/2027;3;2(B);B74;Medio;2;Fraude
PPL 245;9693380259;Mario Diego Romero Sanchez;29;18;07/07/2016;07/07/2034;10;2(B);B75;Medio;2;Hurto
PPL 246;1685320420;Dario Cesar Romero Gomez;61;45;02/10/1983;02/10/2028;4;2(B);B76;Medio;2;Robo
PPL 247;2990927158;Michael Antonio Romero Rivera;53;37;13/11/1990;13/11/2027;3;2(B);B77;Medio;2;Fraude
PPL 248;8209133903;Roberto Antonio Perero Sanchez;57;41;29/05/1986;29/05/2027;3;2(B);B78;Medio;2;Robo
PPL 249;4851063202;Gonzalo Paulo Paredes Espinosa;50;22;02/09/2010;02/09/2032;8;2(B);B79;Medio;2;Hurto
PPL 250;4549811509;Fabian Antonio Romero Morales;29;20;24/11/2016;24/11/2036;12;2(B);B80;Medio;2;Robo
PPL 251;6287980739;Dario Sergio Perero Hidalgo;66;48;22/10/1980;22/10/2028;4;2(B);B81;Medio;2;Hurto
PPL 252;8252398996;Victor Pablo Garcia Reyes;40;24;28/08/2003;28/08/2027;3;2(B);B82;Medio;2;Evasion
PPL 253;7823866141;Carlos Cesar Paredes Sanchez;64;46;13/03/1981;13/03/2027;3;2(B);B83;Medio;2;Evasion
PPL 254;9466348245;Roberto Diego Paredes Sanchez;45;30;11/05/1998;11/05/2028;4;2(B);B84;Medio;2;Robo
PPL 255;3709762151;Dario Sergio Paredes Reyes;36;21;27/01/2008;27/01/2029;5;2(B);B85;Medio;2;Hurto
PPL 256;2543138192;Fabian Sergio Gonzales Gomez;52;38;09/05/1991;09/05/2029;5;2(B);B86;Medio;2;Evasion
PPL 257;4035299394;Dario Diego Gonzales Hidalgo;49;33;23/03/1996;23/03/2029;5;2(B);B87;Medio;2;Evasion
PPL 258;7482366420;Michael Sergio Paredes Morales;51;37;21/02/1992;21/02/2029;5;2(B);B88;Medio;2;Evasion
PPL 259;7135347994;Carlos Antonio Romero Espinosa;45;28;11/12/1998;11/12/2026;2;2(B);B89;Medio;2;Robo
PPL 260;1632261457;Fabian Sergio Guerrero Reyes;35;23;29/10/2023;29/10/2046;22;2(B);B90;Medio;2;Evasion
