#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a); Anios Restantes (pena); Pabellon; Celda; Clasificacion; Visitas semanales(Horas); Delito
PPL 285;2397998210;Carlos Pablo Romero Roman;36;29;14/09/2024;14/09/2053;29;3(C);C25;Medio;2;Robo
PPL 286;3813556046;Dario Antonio Paredes Reyes;64;48;05/07/1982;05/07/2030;6;3(C);C26;Medio;2;Robo
PPL 287;9323757325;Carlos Diego Perero Espinosa;46;5;08/10/2020;08/10/2025;1;3(C);C27;Medio;2;Evasion
PPL 288;6727416241;Michael Adrian Gonzales Rivera;40;25;13/06/2004;13/06/2029;5;3(C);C28;Medio;2;Hurto
PPL 289;1234312151;Michael Adrian Torres Morales;44;27;06/02/2003;06/02/2030;6;3(C);C29;Medio;2;Robo
PPL 290;6902454033;Mario Sergio Romero Reyes;51;35;27/09/1992;27/09/2027;3;3(C);C30;Medio;2;Fraude
PPL 291;4205151116;Roberto Cesar Garcia Morales;27;22;09/03/2019;09/03/2041;17;3(C);C31;Medio;2;Fraude
PPL 292;2250741173;Mario Sergio Romero Reyes;36;29;29/10/2007;29/10/2036;12;3(C);C32;Medio;2;Evasion
PPL 293;6488742537;Victor Paulo Perero Roman;56;41;09/02/1988;09/02/2029;5;3(C);C33;Medio;2;Fraude
PPL 294;1903268101;Pedro Julian Torres Rivera;46;27;07/12/1999;07/12/2026;2;3(C);C34;Medio;2;Hurto
PPL 295;7429837919;Gonzalo Diego Torres Sanchez;34;18;26/07/2009;26/07/2027;3;3(C);C35;Medio;2;Robo
PPL 296;7631353887;Carlos Paulo Paredes Roman;35;18;23/04/2010;23/04/2028;4;3(C);C36;Medio;2;Hurto
PPL 297;2408216579;Michael Sergio Cevallos Roman;65;48;15/11/1981;15/11/2029;5;3(C);C37;Medio;2;Hurto
PPL 298;2309633908;Roberto Julian Paredes Hidalgo;55;37;14/10/1990;14/10/2027;3;3(C);C38;Medio;2;Evasion
PPL 299;8423881541;Victor Paulo Cevallos Espinosa;64;50;14/10/1980;14/10/2030;6;3(C);C39;Medio;2;Hurto
PPL 300;6781692502;Mario Angel Cuenca Reyes;39;27;30/07/2007;30/07/2034;10;3(C);C40;Medio;2;Robo
PPL 301;4905438114;Dario Julian Romero Sanchez;35;19;30/04/2008;30/04/2027;3;3(C);C41;Medio;2;Fraude
PPL 302;2811453253;Carlos Sergio Guerrero Rivera;54;36;03/10/1992;03/10/2028;4;3(C);C42;Medio;2;Evasion
PPL 303;8973366421;Michael Julian Cevallos Rivera;56;42;07/09/1987;07/09/2029;5;3(C);C43;Medio;2;Evasion
PPL 304;6502752540;Fabian Julian Paredes Espinosa;35;23;12/08/2008;12/08/2031;7;3(C);C44;Medio;2;Robo
PPL 305;9114244019;Mario Cesar Romero Rivera;49;33;02/01/1996;02/01/2029;5;3(C);C45;Medio;2;Hurto
PPL 306;2599738253;Carlos Sergio Romero Reyes;40;27;21/04/2009;21/04/2036;12;3(C);C46;Medio;2;Robo
PPL 307;2140622656;Roberto Paulo Perero Morales;36;26;28/10/2017;28/10/2043;19;3(C);C47;Medio;2;Hurto
PPL 308;4922747327;Dario Adrian Garcia Ramirez;29;15;28/04/2017;28/04/2032;8;3(C);C48;Medio;2;Evasion
PPL 309;5234033528;Pedro Paulo Gonzales Sanchez;41;11;28/12/2018;28/12/2029;5;3(C);C49;Medio;2;Fraude
PPL 310;2362637672;Fabian Cesar Romero Sanchez;53;34;17/04/1992;17/04/2026;2;3(C);C50;Medio;2;Hurto
PPL 311;8363596387;Dario Cesar Cevallos Hidalgo;45;29;21/12/1998;21/12/2027;3;3(C);C51;Medio;2;Robo
PPL 312;1644065400;Mario Antonio Guerrero Ramirez;61;44;24/07/1984;24/07/2028;4;3(C);C52;Medio;2;Robo
PPL 313;4978747262;Pedro Diego Cuenca Hidalgo;34;30;23/08/2011;23/08/2041;17;3(C);C53;Medio;2;Fraude
PPL 314;3447857533;Gonzalo Paulo Gonzales Sanchez;40;27;11/04/2003;11/04/2030;6;3(C);C54;Medio;2;Evasion
PPL 315;4059964535;Dario Angel Cuenca Rivera;63;48;27/05/1982;27/05/2030;6;3(C);C55;Medio;2;Fraude
PPL 316;7116290967;Carlos Antonio Cuenca Gomez;46;33;23/12/1997;23/12/2030;6;3(C);C56;Medio;2;Robo
PPL 317;5173476543;Roberto Antonio Guerrero Hidalgo;62;43;05/12/1984;05/12/2027;3;3(C);C57;Medio;2;Hurto
PPL 318;3873712703;Dario Diego Garcia Espinosa;50;25;23/06/2004;23/06/2029;5;3(C);C58;Medio;2;Robo
PPL 319;3782727335;Gonzalo Pablo Torres Morales;40;23;09/08/2004;09/08/2027;3;3(C);C59;Medio;2;Hurto
PPL 320;1996273959;Roberto Antonio Guerrero Sanchez;34;17;22/03/2009;22/03/2026;2;3(C);C60;Medio;2;Hurto
PPL 321;6514015952;Carlos Julian Torres Gomez;50;34;24/09/1994;24/09/2028;4;3(C);C61;Medio;2;Fraude
PPL 322;6150818177;Fabian Angel Paredes Roman;65;48;02/09/1981;02/09/2029;5;3(C);C62;Medio;2;Evasion
PPL 323;9607860259;Roberto Sergio Garcia Rivera;46;22;09/07/2004;09/07/2026;2;3(C);C63;Medio;2;Hurto
PPL 324;6742959737;Fabian Diego Cuenca Hidalgo;36;17;30/08/2012;30/08/2029;5;3(C);C64;Medio;2;Evasion
PPL 325;9528464956;Dario Julian Romero Rivera;41;23;02/09/2023;02/09/2046;22;3(C);C65;Medio;2;Robo
PPL 326;9071479962;Carlos Pablo Cevallos Hidalgo;49;19;26/07/2011;26/07/2030;6;3(C);C66;Medio;2;Evasion
PPL 327;3206853320;Pedro Adrian Perero Roman;49;30;09/05/1997;09/05/2027;3;3(C);C67;Medio;2;Hurto
PPL 328;9477790255;Carlos Pablo Torres Reyes;33;23;15/04/2013;15/04/2036;12;3(C);C68;Medio;2;Robo
PPL 329;2135124683;Roberto Pablo Paredes Ramirez;52;37;01/12/1993;01/12/2030;6;3(C);C69;Medio;2;Robo
PPL 330;2931070042;Roberto Pablo Gonzales Sanchez;51;37;05/10/1992;05/10/2029;5;3(C);C70;Medio;2;Fraude
PPL 331;5135587254;Carlos Antonio Cevallos Hidalgo;54;40;05/12/1989;05/12/2029;5;3(C);C71;Medio;2;Fraude
PPL 332;6966051601;Dario Sergio Perero Espinosa;57;38;29/11/1988;29/11/2026;2;3(C);C72;Medio;2;Robo
PPL 333;9508613076;Roberto Adrian Gonzales Espinosa;31;15;29/01/2013;29/01/2028;4;3(C);C73;Medio;2;Fraude
PPL 334;7919181516;Carlos Antonio Guerrero Ramirez;39;22;18/04/2006;18/04/2028;4;3(C);C74;Medio;2;Fraude
PPL 335;2868196765;Mario Pablo Torres Espinosa;37;28;30/09/2006;30/09/2034;10;3(C);C75;Medio;2;Robo
PPL 336;1357725764;Fabian Angel Garcia Rivera;59;45;03/02/1985;03/02/2030;6;3(C);C76;Medio;2;Hurto
PPL 337;8906798414;Carlos Diego Paredes Sanchez;54;40;08/10/1990;08/10/2030;6;3(C);C77;Medio;2;Evasion
PPL 338;8452421079;Roberto Antonio Cuenca Rivera;41;26;28/08/2003;28/08/2029;5;3(C);C78;Medio;2;Hurto
PPL 339;1869026305;Pedro Cesar Paredes Morales;47;31;17/09/1998;17/09/2029;5;3(C);C79;Medio;2;Hurto
PPL 340;4811915088;Fabian Antonio Guerrero Espinosa;60;44;01/08/1986;01/08/2030;6;3(C);C80;Medio;2;Robo
PPL 341;9928467963;Victor Adrian Perero Roman;52;39;30/06/1991;30/06/2030;6;3(C);C81;Medio;2;Fraude
PPL 342;7897821626;Victor Pablo Perero Reyes;58;42;06/04/1988;06/04/2030;6;3(C);C82;Medio;2;Robo
PPL 343;5735684534;Mario Antonio Torres Sanchez;54;38;06/11/1991;06/11/2029;5;3(C);C83;Medio;2;Hurto
PPL 344;7272392817;Pedro Antonio Paredes Sanchez;42;25;05/08/2003;05/08/2028;4;3(C);C84;Medio;2;Hurto
PPL 345;8251730378;Pedro Angel Perero Sanchez;44;27;27/02/2017;27/02/2044;20;3(C);C85;Medio;2;Evasion
PPL 346;6901636596;Pedro Pablo Guerrero Reyes;63;48;13/12/1980;13/12/2028;4;3(C);C86;Medio;2;Robo
PPL 347;4006295440;Mario Antonio Torres Morales;45;14;16/06/2013;16/06/2027;3;3(C);C87;Medio;2;Evasion
PPL 348;9074073447;Roberto Cesar Perero Hidalgo;49;23;31/03/2006;31/03/2029;5;3(C);C88;Medio;2;Fraude
PPL 349;9702050168;Roberto Diego Perero Ramirez;34;11;01/04/2021;01/04/2032;8;3(C);C89;Medio;2;Hurto
PPL 350;8135163667;Dario Antonio Cuenca Sanchez;46;23;07/06/2007;07/06/2030;6;3(C);C90;Medio;2;Fraude
PPL 351;3426530070;Victor Adrian Torres Hidalgo;21;30;25/04/2022;25/04/2052;28;3(C);C1;Medio;2;Evasion
PPL 352;6071571644;Dario Antonio Guerrero Morales;47;29;10/01/1998;10/01/2027;3;3(C);C2;Medio;2;Hurto
PPL 353;8399698547;Michael Angel Cuenca Sanchez;33;9;24/05/2018;24/05/2027;3;3(C);C3;Medio;2;Evasion
PPL 354;8351835205;Mario Angel Cuenca Morales;57;40;12/12/1986;12/12/2026;2;3(C);C4;Medio;2;Robo
PPL 355;5569241080;Victor Sergio Cevallos Roman;52;35;04/06/1991;04/06/2026;2;3(C);C5;Medio;2;Hurto
PPL 356;6443597373;Carlos Antonio Gonzales Ramirez;48;31;08/07/1995;08/07/2026;2;3(C);C6;Medio;2;Fraude
PPL 357;3209695749;Mario Pablo Perero Sanchez;48;32;22/05/1998;22/05/2030;6;3(C);C7;Medio;2;Fraude
PPL 358;3978657185;Roberto Antonio Paredes Morales;40;23;22/06/2003;22/06/2026;2;3(C);C8;Medio;2;Robo
PPL 359;7146556763;Mario Cesar Garcia Espinosa;41;25;13/12/2022;13/12/2047;23;3(C);C9;Medio;2;Robo
PPL 360;7410510953;Gonzalo Sergio Paredes Hidalgo;49;23;24/10/2003;24/10/2026;2;3(C);C10;Medio;2;Fraude
PPL 361;3817722641;Roberto Adrian Paredes Reyes;36;16;25/04/2009;25/04/2025;1;3(C);C11;Medio;2;Robo
PPL 362;2672579064;Mario Antonio Garcia Morales;49;17;26/10/2009;26/10/2026;2;3(C);C12;Medio;2;Fraude
PPL 363;2496994982;Roberto Adrian Paredes Reyes;45;29;11/12/2001;11/12/2030;6;3(C);C13;Medio;2;Fraude
PPL 364;6514512971;Victor Paulo Torres Hidalgo;49;35;05/10/1995;05/10/2030;6;3(C);C14;Medio;2;Fraude
PPL 365;7040511886;Fabian Pablo Perero Morales;25;10;07/12/2024;07/12/2034;10;3(C);C15;Medio;2;Fraude
PPL 366;8499381766;Pedro Diego Torres Sanchez;63;47;06/12/1983;06/12/2030;6;3(C);C16;Medio;2;Evasion
PPL 367;6019647177;Michael Angel Cevallos Roman;47;31;10/03/1997;10/03/2028;4;3(C);C17;Medio;2;Fraude
PPL 368;7233864450;Pedro Paulo Cuenca Sanchez;66;48;08/08/1980;08/08/2028;4;3(C);C18;Medio;2;Hurto
PPL 369;7320181123;Carlos Pablo Garcia Espinosa;61;47;05/06/1982;05/06/2029;5;3(C);C19;Medio;2;Fraude
PPL 370;4701191518;Carlos Sergio Romero Roman;36;9;21/06/2023;21/06/2032;8;3(C);C20;Medio;2;Robo
PPL 371;6461447834;Roberto Pablo Paredes Gomez;40;25;29/11/2004;29/11/2029;5;3(C);C21;Medio;2;Evasion
PPL 372;7984979107;Michael Cesar Cevallos Reyes;57;42;11/02/1986;11/02/2028;4;3(C);C22;Medio;2;Evasion
PPL 373;8494794177;Victor Cesar Perero Ramirez;39;22;19/12/2005;19/12/2027;3;3(C);C23;Medio;2;Evasion
PPL 374;5326270530;Carlos Paulo Romero Espinosa;49;24;06/05/2004;06/05/2028;4;3(C);C24;Medio;2;Robo
PPL 375;1477344422;Roberto Cesar Perero Rivera;41;27;20/01/2002;20/01/2029;5;3(C);C25;Medio;2;Hurto
PPL 376;1860448951;Roberto Paulo Torres Sanchez;28;22;30/12/2015;30/12/2037;13;3(C);C26;Medio;2;Hurto
PPL 377;6190318231;Fabian Antonio Cuenca Morales;45;29;16/12/2000;16/12/2029;5;3(C);C27;Medio;2;Evasion
PPL 378;5969628418;Gonzalo Diego Gonzales Rivera;61;47;01/01/1983;01/01/2030;6;3(C);C28;Medio;2;Evasion
PPL 379;1843988646;Fabian Paulo Garcia Hidalgo;33;16;31/06/2012;31/06/2028;4;3(C);C29;Medio;2;Hurto
PPL 380;7691497962;Pedro Antonio Cuenca Morales;36;14;27/02/2011;27/02/2025;1;3(C);C30;Medio;2;Hurto
PPL 381;2532126804;Mario Pablo Garcia Reyes;52;36;25/07/1991;25/07/2027;3;3(C);C31;Medio;2;Fraude
PPL 382;8513690028;Mario Antonio Garcia Ramirez;38;23;17/03/2017;17/03/2040;16;3(C);C32;Medio;2;Fraude
PPL 383;5079299185;Fabian Adrian Romero Sanchez;47;28;18/01/2000;18/01/2028;4;3(C);C33;Medio;2;Robo
PPL 384;2104330579;Roberto Antonio Cevallos Ramirez;46;29;07/01/1997;07/01/2026;2;3(C);C34;Medio;2;Fraude
PPL 385;9003020892;Michael Adrian Torres Rivera;56;42;04/08/1988;04/08/2030;6;3(C);C35;Medio;2;Robo
PPL 386;8684997661;Mario Julian Garcia Gomez;43;25;24/07/2000;24/07/2025;1;3(C);C36;Medio;2;Robo
PPL 387;3546431090;Carlos Sergio Cevallos Rivera;52;35;30/04/1994;30/04/2029;5;3(C);C37;Medio;2;Robo
PPL 388;2921236599;Dario Adrian Gonzales Roman;54;34;23/12/1992;23/12/2026;2;3(C);C38;Medio;2;Fraude
PPL 389;4543155320;Victor Cesar Gonzales Roman;25;11;26/11/2019;26/11/2030;6;3(C);C39;Medio;2;Robo
PPL 390;8688760176;Fabian Sergio Cevallos Gomez;60;44;01/09/1983;01/09/2027;3;3(C);C40;Medio;2;Fraude
PPL 391;4269357982;Victor Julian Cuenca Reyes;51;37;29/12/1992;29/12/2029;5;3(C);C41;Medio;2;Fraude
PPL 392;6884191943;Roberto Sergio Romero Gomez;28;12;21/01/2017;21/01/2029;5;3(C);C42;Medio;2;Evasion
PPL 393;7447326286;Carlos Cesar Romero Ramirez;37;20;16/10/2006;16/10/2026;2;3(C);C43;Medio;2;Fraude
PPL 394;2303280875;Pedro Paulo Paredes Sanchez;45;13;14/03/2021;14/03/2034;10;3(C);C44;Medio;2;Hurto
PPL 395;3900735339;Mario Adrian Cuenca Sanchez;63;46;02/01/1983;02/01/2029;5;3(C);C45;Medio;2;Fraude
PPL 396;9527632240;Michael Angel Cevallos Roman;24;28;02/05/2023;02/05/2051;27;3(C);C46;Medio;2;Robo
PPL 397;7402462088;Pedro Antonio Cevallos Rivera;48;19;06/09/2013;06/09/2032;8;3(C);C47;Medio;2;Fraude
PPL 398;8210640486;Victor Antonio Gonzales Rivera;41;14;31/06/2015;31/06/2029;5;3(C);C48;Medio;2;Fraude
PPL 399;8696858508;Mario Pablo Garcia Reyes;46;22;26/12/2006;26/12/2028;4;3(C);C49;Medio;2;Robo
PPL 400;3899046174;Dario Sergio Cevallos Gomez;31;18;20/03/2012;20/03/2030;6;3(C);C50;Medio;2;Fraude
PPL 401;1820518069;Dario Diego Torres Sanchez;51;33;06/09/1993;06/09/2026;2;3(C);C51;Medio;2;Hurto
PPL 402;4338954853;Roberto Antonio Guerrero Morales;44;15;20/09/2018;20/09/2033;9;3(C);C52;Medio;2;Fraude
PPL 403;2394677263;Dario Antonio Romero Morales;37;8;30/05/2019;30/05/2027;3;3(C);C53;Medio;2;Hurto
PPL 404;1241496629;Carlos Angel Cevallos Sanchez;51;37;14/02/1993;14/02/2030;6;3(C);C54;Medio;2;Hurto
PPL 405;4446113325;Fabian Diego Torres Reyes;42;14;02/11/2013;02/11/2027;3;3(C);C55;Medio;2;Hurto
PPL 406;5682446437;Roberto Diego Garcia Gomez;41;26;11/01/2021;11/01/2047;23;3(C);C56;Medio;2;Evasion
PPL 407;1401465176;Roberto Antonio Romero Rivera;35;22;17/06/2008;17/06/2030;6;3(C);C57;Medio;2;Evasion
PPL 408;1875043880;Roberto Adrian Torres Morales;29;23;24/02/2015;24/02/2038;14;3(C);C58;Medio;2;Hurto
PPL 409;4593794873;Gonzalo Cesar Cevallos Roman;41;28;31/08/2002;31/08/2030;6;3(C);C59;Medio;2;Evasion
PPL 410;7725834933;Victor Antonio Romero Espinosa;46;33;20/04/1997;20/04/2030;6;3(C);C60;Medio;2;Robo
PPL 411;5585612097;Victor Adrian Cevallos Reyes;35;22;13/10/2008;13/10/2030;6;3(C);C61;Medio;2;Hurto
PPL 412;8947815016;Dario Diego Gonzales Sanchez;46;9;06/07/2019;06/07/2028;4;3(C);C62;Medio;2;Fraude
PPL 413;1783720733;Gonzalo Julian Cuenca Hidalgo;40;23;26/04/2006;26/04/2029;5;3(C);C63;Medio;2;Evasion
PPL 414;6402471736;Roberto Antonio Gonzales Sanchez;37;21;09/09/2009;09/09/2030;6;3(C);C64;Medio;2;Hurto
PPL 415;6603621656;Roberto Antonio Garcia Sanchez;28;12;17/03/2022;17/03/2034;10;3(C);C65;Medio;2;Fraude
PPL 416;8785445743;Fabian Antonio Cuenca Rivera;58;41;26/11/1985;26/11/2026;2;3(C);C66;Medio;2;Evasion
PPL 417;8535785839;Victor Cesar Perero Roman;21;11;16/01/2022;16/01/2033;9;3(C);C67;Medio;2;Evasion
PPL 418;1423527001;Victor Antonio Perero Espinosa;47;27;18/03/2004;18/03/2031;7;3(C);C68;Medio;2;Hurto
PPL 419;1710097410;Roberto Adrian Perero Rivera;40;15;18/07/2019;18/07/2034;10;3(C);C69;Medio;2;Fraude
PPL 420;6007225447;Mario Adrian Paredes Gomez;57;39;25/07/1987;25/07/2026;2;3(C);C70;Medio;2;Evasion
PPL 421;6430962802;Dario Antonio Romero Sanchez;46;14;19/02/2014;19/02/2028;4;3(C);C71;Medio;2;Fraude
PPL 422;9198591224;Carlos Antonio Perero Espinosa;51;32;18/11/1995;18/11/2027;3;3(C);C72;Medio;2;Robo
PPL 423;8298434730;Roberto Sergio Perero Reyes;29;9;28/07/2018;28/07/2027;3;3(C);C73;Medio;2;Hurto
PPL 424;5601797923;Roberto Cesar Guerrero Espinosa;44;28;31/11/2000;31/11/2028;4;3(C);C74;Medio;2;Hurto
PPL 425;4991119650;Victor Angel Perero Reyes;29;18;31/10/2024;31/10/2042;18;3(C);C75;Medio;2;Fraude
PPL 426;5698882667;Victor Pablo Perero Rivera;46;5;25/06/2023;25/06/2028;4;3(C);C76;Medio;2;Evasion
PPL 427;4592338196;Dario Sergio Cuenca Reyes;57;39;14/08/1988;14/08/2027;3;3(C);C77;Medio;2;Evasion
PPL 428;7603270850;Fabian Adrian Garcia Rivera;42;22;04/09/2004;04/09/2026;2;3(C);C78;Medio;2;Fraude
PPL 429;3778041515;Roberto Antonio Romero Sanchez;58;44;15/06/1985;15/06/2029;5;3(C);C79;Medio;2;Evasion
PPL 430;1182689479;Pedro Antonio Romero Ramirez;66;49;19/03/1980;19/03/2029;5;3(C);C80;Medio;2;Evasion
PPL 431;3474793916;Roberto Antonio Perero Ramirez;41;24;16/10/2003;16/10/2027;3;3(C);C81;Medio;2;Fraude
PPL 432;1170613717;Fabian Cesar Perero Sanchez;23;26;02/09/2020;02/09/2046;22;3(C);C82;Medio;2;Evasion
PPL 433;2756250489;Victor Paulo Paredes Espinosa;35;16;09/01/2011;09/01/2027;3;3(C);C83;Medio;2;Hurto
PPL 434;9457642244;Pedro Pablo Paredes Gomez;38;8;26/02/2024;26/02/2032;8;3(C);C84;Medio;2;Evasion
PPL 435;9177323005;Fabian Adrian Romero Hidalgo;48;15;12/06/2012;12/06/2027;3;3(C);C85;Medio;2;Evasion
PPL 436;1183811620;Michael Pablo Guerrero Rivera;39;24;25/05/2004;25/05/2028;4;3(C);C86;Medio;2;Fraude
PPL 437;9990039332;Roberto Julian Romero Gomez;46;12;19/02/2014;19/02/2026;2;3(C);C87;Medio;2;Hurto
PPL 438;9979270056;Roberto Sergio Paredes Sanchez;49;21;29/02/2008;29/02/2029;5;3(C);C88;Medio;2;Hurto
PPL 439;5249792721;Roberto Angel Guerrero Ramirez;29;13;30/06/2014;30/06/2027;3;3(C);C89;Medio;2;Fraude
PPL 440;1530638240;Roberto Pablo Cuenca Sanchez;63;45;08/05/1981;08/05/2026;2;3(C);C90;Medio;2;Robo
